content,score,label_sentiment
"Change the device must visit branch office, while they only have 1 customer service and no replacement during break, not recommend this apps and the bank",1,Negative
Terima kasih atas kerja kerasnya. Bjb begitu peduli dengan kebutuhan dan keinginan kita. Ini adalah Update Yang Sangat Signifikan (Terutama penarikan tanpa kartu). Fitur dan interfacenya sangat memanjakan pengguna. Kedepanya saya berharap bjb lebih banyak lagi menjalin kerjasama dengan marchant dan e-commerce. Biar bayar apapun tidak kena Admin. * Saya harap kedepanya verifikasi Update PIN baru bisa melalui email tidak hanya via SMS.,5,Positive
"SUSAH TERHUBUNG MULU DAHAL KONEKSI PAKE WIFI COBA PAKE DATA JUGA TETEP AJA SUSAH MASUK, KADANG BISA KADANG NGGA TAPI KEBANYAKAN NGGA BISA MASUK NYA",1,Negative
So difficult to move the digi app to new mobile phone,1,Negative
Call center tidak 24 jam. Ditelpon nungguin sampai pulsa habis. Pengalaman yang sangat buruk.,1,Negative
Sering error kalau mau beli token listrik,3,Neutral
"transfer BI Fast error mulu, Bank tujuan sedang tidak aktif, padahal aktif",1,Negative
"Ganti kartu ATM bayar 30rb, mau.ambil pake kartu ATM, ATM nya rusak, mau ambil pake lewat kasir/teller kena bea admin 10 ribu.. Bank Aneh",1,Negative
Bank ga jelas,1,Negative
"Bad application,",1,Negative
"Sering gangguan, install di hp lain susah dan ribet, sampai ganti kartu ATM pun ribet banget administrasi nya + CS nya lama, belum ATM nya sering error..",1,Negative
"Coba join flip kak, di digi ini ga bisa topup dana",1,Negative
setelah di update jdi bnyk bug.,1,Negative
"Ribet bat dah ini mbangking, mbangking paling tidak advance diantara semua mbanking yg ada",1,Negative
Ganti HP perlu ke bank lagi untuk mengaktifkan aplikasinya di HP lain. Bank lain sudah g perlu ke bank lagi.,1,Negative
It blocks my account out of nowhere even though I type the right access code,1,Negative
"Bagus, meskipun sering gangguan",5,Positive
ampun deh mau reset m-banking karena pindah device aja harus ke ATM. udah aktivasi ke ATM jauh-jauh kode OTPnya gak mau masuk-masuk padahal kuota sm pulsa ada 😑 males bgt,2,Negative
"Kenapasih harus seribet itu, setiap ganti hp atau instal ulang aplikasi harus ke teller lagi dan lagii.. tidak bisakah seperti perbankan lain langsung menerima OTP dengan nomor hp yang sudah terdaftar dan Aktivasi sendiri.",2,Negative
"Sering trouble, saat pembayaran pakai QR sering gagal",3,Neutral
"Error, no response",1,Negative
"Susah masuk, kode OTP ga masuk terus. Padahal pulsa ada. Dulu sih kodenya lewat email, tp skrg dicek juga ga ada. Tolong dong perbaiki. Lagi butuh ni",1,Negative
"Tidak semua transaksi terekam di akun DIGI. Report transaksi yg tertera hanya transaksi online, transaksi yg dilakukan di atm tidak terekam di transaction report DIGI",2,Negative
stress sering down,1,Negative
"tolong dong fitur ubah pin secara berkala bisa di disable. sering banget malah jadi kelupaan pin baru. reply : harusnya ada sistem keamanan yang membuat nasabah lebih nyaman. aplikasi sebelah juga punya sistem keamanan yang baik, tapi tidak ribet, tidak mengharuskan uba password berkala. selain itu kode Verifikasi dikirim via sms yang biayanya dibebankan ke nasabah. semoga menjadi masukan 🙂",1,Negative
"Eror terus , setor tunai di mini statment masuk tapi saldo tidak bertambah",1,Negative
Ga bisa login... Sekelas ini buat aplikasinya gimana ini dev nya 😪,1,Negative
"Saldo yang ada di bjb digi selalu nggak sama dengan saldo di rekening.. Baik itu saldo tabungan maupun saldo pinjaman..Akibatnya terpaksa bolak balik ke bank buat print, karena was-was.. Tambahan nih.. Kaget hari ini 22/11/23 cek saldo tiba2 nol..Tyt ada autodebet tgl 21/11/23 bunga pinjaman yang notabene sudah saya lunasin di tanggal yang sama.. Syukurlah PIC bag kredit gercep menangani walau sudah diluar jam kerja. Apakah kejadian akan terulang?Yg jelas saldo aplikasi vs mutasi msh unbalance😁",1,Negative
Bjb luar biasa 👍👍👍,5,Positive
Good,5,Positive
"Teruntuk pihak DIGIBANK, saya sampaikan keluhan yang sangat tidak menyenangkan. Setelah mengganti device smartphone, hampir seminggu sekali akun DIGI saya harus aktivasi ulang dan itu sudah berulang² selama beberapa minggu ke belakang. Sungguh sangat disayangkan, padahal saya sudah melihat titik terang di fitur² baru di latest update. Namun sekarang transaksi online malah terlambat karena ada ""reset akun"" dan harus ""aktivasi"" rutin seperti ini. Sebelumnya terima kasih, semoga diperbaiki.",1,Negative
"tolong dong, metode login nya gaperlu reset ke cs. masa kalah sama app lain yg lebih gampang loginnya.",1,Negative
"Setiap login diminta rubah mpin, cukup mengganggu.",3,Neutral
"Error mulu kerjanya, bahkan untuk bintang 1 pun gak layak",1,Negative
"Tidak bisa buka aplikasi. Gagal karena koneki, padahal koneksi baik-baik saja ketika membuka aplikasi mbanking lainnya",1,Negative
Parah.. gangguan disaat pagi hari,1,Negative
Error,1,Negative
Error mulu ah cape,1,Negative
"I often found some problems with the system. Fail to open the app, fail to make some transactions n I have to try later after for hours. I think digi must improve the service.",3,Neutral
Abis update ga bisa login,1,Negative
"Kalo ada perbaikan dikasih tau dulu lah, tau tau ngga bisa transaksi",1,Negative
"Selalu error, cek rekening koran error, cek saldo error, transfer error, top up error",1,Negative
Aplikasi stack di logo bjb doang parah.. udh sminggu begini,1,Negative
"Mhn maaf sebelumnya. Sdh 2 tahun full menggunakan aplikasi bjb, selama ini lancar jaya.. Tp sejak update terakhir.. Banyak bgt error.. Terutama fitur QRIS yg sgt sering error. Mhn ditindaklanjuti segera. Trm ksh. (will bump to 5 stars if problems solved)",1,Negative
Jelek udah itu aja,1,Negative
Jendral bintang satu,1,Negative
Error periodically...,1,Negative
Infinite loading pas buka. Perlu banyak perbaikan & penambahan fiture. AGAR BERGUNA,1,Negative
Loading bgt mau buka aplikasinya,2,Negative
Pelayanan nya bagus,5,Positive
Sudah saya sampaikan dan sudah ada tindaklanjut. Semoga kedepan pelayanan publik Bank BJB lebih baik lagi dan lebih mudah lagi. Terima kasih min,4,Positive
"buka bjb mau transaksi , notif harus dipaksa utk ganti pin mobile baru (sy punya 5 app bank lain tidak pernah dari pihak bank utk ganti2 ribet pin bertahun2 selama tdk ganti hp , ini dipaksa utk ganti) , sdh diikuti , diminta isi otp. otp tidak terkirim2 padahal pulsa banyak. tlp ke cs ,sedang error maintenance 2hari sejak kmrn. haduh, padahal mau dipakai transaksi malah terhalang. ini maunya bgmn ???",1,Negative
"Kenapa kalau HP ke reset atau ganti hp, mesti telp call center dan daftar kembali di ATM, apa tidak bisa verifikasi dari aplikasi langsung, kan bisa foto ktp atau foto wajah seperti aplikasi bank lain, semoga di perbaiki",3,Neutral
"Terlalu susah dibuka padahal jaringan internet lancar, aplikasi lain juga bisa.",1,Negative
"Setelah si update jadi ga bisa masuk,,,,haduhhhh",1,Negative
"Gila ya ga ganti pin tapi salah pin 3 kali langsung ke blok. Mana hari Jumat ini, harus ke cs hari Senin nya. Ga bisa on call apa aktifasinya",1,Negative
Sudah tf ke bca ttp belom msk msk,1,Negative
"Hal se simple validasi nama mengandung karakter aja di validasi nya ketika mau transfer, bukan ketika input list no dan nama rekening nya. Bikin gw kerja 2x aja, udah itu tolong transfer ke e-Wallet nya perbanyak lg list nya",1,Negative
"Aplikasi sering error gak jelas, rawan banget untuk sekelas m-banking",1,Negative
Good job..!!,5,Positive
Kl bukan utk payroll gak bakal mau buka rekening bjb 🥺 biaya admin paling mahal + aplikasi tidak kompatibel,1,Negative
"Banyak timeout, dan errornya",1,Negative
Biaya admin & biaya kartu atm per/bulan bank bjb tandamata lumayan besar lho. Terbesar dikelasnya! 👍🏼,2,Negative
Sejauh ini pelayanan masih bagus ...,5,Positive
"Tiap cek mutasi rekening sllu ngga bisa, udh coba berkali2 gagal mulu",2,Negative
Aneh ya ko di sini app store ada menu token listrik tp di app BJB DIGI aslinya ga ada,3,Neutral
Tidak dapat membuka mutasi rekening jika malam hari. Mohon jawaban yang pasti jangan pake bot,1,Negative
"app jelek, cek mutasi rekening error mulu ga ada perbaikan",1,Negative
"Aplikasi mobile banking paling useless.. Lg transaksi timeout, g ada bukti transfer.. Cek dimutasi kosong, cm ada saldo akhir... Transfernya ke PBB dan udh muncul ditulisan saat transfer, tp kecatet dimutasi di email no rek entah siapa.. Payah.. Saya tarik semua saldo saya dr bjb.. 👎",1,Negative
"Cetak mutasi rekening di aplikasi hasilnya kosong, padahal sudah cek ke kantor cabang harusnya terdapat transaksi di rekening saya. Sudah telepon Call Center pun tidak membantu.",1,Negative
"Its good to use it, but some times i have to unistall because something wrong with my phone",5,Positive
Mantaf ...,4,Positive
Bug di bagian mutasi tidak bisa d akses,4,Positive
Eror sudah memberikan akses lokasi tapi tetap gagal untuk register,1,Negative
"Biar senang, bintang lima. Coba fitur screenshot nya kak. Yg lain aman aman saja. Cek mutasi juga kadang2, ga stabil dan ga detail. Tambahin fitur daftar ON OFF sms banking.",5,Positive
Selalu minta pergantian password tapi setelah memasukkan password baru selalu minta kode OTP namun tak ada balasan via sms.,1,Negative
"Transfer duit nyangkut,nelfon cs habis2in pulsa,bikin kesel",1,Negative
Jelek aja,1,Negative
Aplikasi sering error tdk bisa di buka. Mutasi sering 0 tidak tercatat...,1,Negative
Mutasi eror mohon bantuannya perbaikan. Tidak mucup transaksi,1,Negative
"Aku disuruh masukin kode otp ke aplikasi digi mobile tpi otp nya gak masuk2,katanya dikirim lewat sms tpi kenyataannya gak ada. Sinyal bagus,jaringan juga bagus..kendalanya dimana lagi?",2,Negative
Top,5,Positive
"Bener-bener gajelas, mau cek mutasi rekening aja sering error, transaksi banyak yg tidak tercatat. Belum lagi tiap opsi harus input m-pin berulang kali.",1,Negative
"Setiap cek mutasi rekening selalu gagal, padahal fitur ini harusnya jadi kelebihannya mobile banking huhu sering eror juga waktu dibuka",1,Negative
"Aplikasi Mobile Banking Terburuk yg pernah sy instal dibandingkan 4 bank yg lain. Terlalu banyak Bugs Bahkan dimulai saat pertama kali instal dan aktifasi m-banking. Dan Sekarang, walaupun sudah berapa kali update tetap banyak kendala. Lemot. Minta mutasi rekening lebih sering GAGAL dibanding berhasilnya. Mini statement tidak disertai saldo di tanggal tsb. TIDAK RELIABLE..!!",1,Negative
"tolong sistem di perbaiki lagi, saya ga sekali gagal pas transfer kmrin gagal lagi pas qr duit nya nyangkut, ribet harus tlpn cs datang ke kcp hadeh, bikin mateng lah mobile nya buang waktu garagra gagal tf uang ga nyampe saldo uda ngurangin",2,Negative
"Biaya transfer paling mahal, potongan bulanan msh tinggi, tiap tanggal gajian ATM mati, E Wallet hanya max 500 rb. BI fast malah mati skrg. Tapi Gaji masuk kesini.",1,Negative
"Sama sekali tidak bisa dipakai, selalu error waktu login bilang perlu permission access dll lah, kata teller abaikan saja, belakangan saya bahkan tidak bisa cek saldo karena selalu error 👎",1,Negative
"Buruk. Sistemnya sering tidak stabil dan mengalami galat. Ketika melakukan transaksi pembayaran, sistem tiba-tiba mengalami error dan saldo berkurang meskipun transaksi gagal. Aplikasi ini lebih baik digunakan untuk cek saldo saja dan bukan untuk transaksi.",1,Negative
"Mbanking paling buruk ini bank, transaksi pake ini aplikasi dana ga masuk tapi saldo kepotong terus Komplain ke CS disuruh tunggu 14 hr kerja, padahal kesalahan dipihak bank yang dirugikan customer nya Payah",1,Negative
"maaf, kenapa aplikasi selalu mengalami error? transaksi cashless tidak bisa berjalan sama sekali, baik itu pembayaraj via QRIS, atau sekadar top up e wallet. Mohon segera diperbaiki",1,Negative
"Pin keblokir sendiri, telepon call center disuruh ke bank. Udah ke bank di suruh telepon call center.!!!! Udah ke bank, suruh ganti kartu atm, ribet banget bjb. Bikin susah orang",1,Negative
"Ya allah tinggal ngirim otp aja susah banget. Udah berkali kali malah minta reset, masak harus berkali kali ke bank",1,Negative
Nice,5,Positive
Ribet ga kyk yg laen buka mobile bisa langsung ga perlu ke bank nya -_-,1,Negative
"Alhamdulillah, sekarang sudah lancar.",5,Positive
"Biaya adm bulanan lebih mahal dari BCA, tapi fitur jauh lebih minim👎👎👎👎",1,Negative
"Useless app, tiap di atas jam 9 malem gabisa dipake",1,Negative
"Sulit untuk digunakan, menu dalam aplikasi sulit untuk dicari",1,Negative
"Ini kenapa lagi aplikasinya malah makin lemot,di tambah lagi suka close sendirr, ga jelas",1,Negative
Dari kemarin eror. Gimana sih?,1,Negative
"Servernya sangat bagus, responsif sekali sampai sulit untuk login",1,Negative
"kecewa bgt! sy perlu transfer segera, diji error & lola,ATM pun error 😪 mini statement yg tampil di menu display pun tdk update,yg muncul malah transaksi lama 😑",1,Negative
buruk...,1,Negative
Eror trs,1,Negative
"Apk sering force close , sinyal bagus ga konek ke server Mulu, ga bisa di ajak cepet ,kecewa",1,Negative
"Ini kenapa crash melulu. Padahal signal baik2 aja.. notifikasi gagal menyambung ke server, cek koneksi anda. Lah wifi aman lancarjaya kok..",1,Negative
"Aplikasi sampah, eror mulu, pas urgent butuhnya cepet malah server eror.",1,Negative
Jelek.. suka eror terus..,1,Negative
Jelek banyak BUG,1,Negative
Parah sih,1,Negative
Mau daftr ke mbanking nya gabisa bisa👎👎👎,1,Negative
Error,1,Negative
"Berat banget ini aplikasi, koneksi harus bener bener kuat baru bisa pakai aplikasi ini",1,Negative
"Server tolong diperbaiki, Sinyal full 4G tp sering masalah server gagal",3,Neutral
"Tidak dapat mengakses aplikasi, gagal terhubung dengan server. Padahal jaringan internet bagus. Mohon perbaikannya",2,Negative
Mobile banking kok online nya mengikuti jam kerja wkwk lucu sih yg buat aplikasinya,2,Negative
"ribet, sering eror, kalo malem ga bisa dibuka",2,Negative
"Bank Miskin, Ngandelin Orang2 PT Untuk Para Penggunanya",1,Negative
Untuk mutasi rekeningnya mohon maaf ini error.. sering tidak sesuai.. jika ada TF hingga sepuluh atau dua puluh dalam sehari... tidak semua terdata.. mohon perhatiannya ya..,3,Neutral
"Sering tdk terdetect dana masuk/kluar di mutasi rekening. Pada hari yg sama penggunaan dana/masuk dana, sering tidak muncul di mutasi rek. Bbrpkali pengecekan mutasi blank (tdk muncul apa2) / loncat tanggal transaksi. Pada tgl2 tertentu ex. Gajian atau tgl2 padat lainnya, app sering tdk dapat digunakan/eror. Perbaiki. Demi kenyamanan nasabah",2,Negative
Cek saldo selalu kesulitan setiap awal bulan ...,3,Neutral
Bjb digi kode error 0099 kode apaan tuh jadinya saya gak bisa akses,1,Negative
"Udah sebulan lebih gabisa dipake. Gabisa top up ewallet, gagal tf ke sesama bjb, e-wallet ga semua ada, for example DANA. What is this app for? Mau bilang useless tp terlalu jahat.. Tp faktanya gabisa dipake even udh di update. Tolong gimana ini?",1,Negative
"Otp ga masuk2, aplikasi lag",1,Negative
Parah!!! Data transfer udah masuk saldo belum ga nambah nambah,1,Negative
Kalo bukan payrol gaji najis gue make aplikasi ini,1,Negative
mau aktivasi bjb digi ribet banget. ngga seperti bank lainnya.,1,Negative
Not working...,1,Negative
"Sangat ganggu tiap bulan harus ganti password alasan keamanan, padahal ga perlu gitu juga user klo ngerasa udah perlu ganti bakalan request sendiri siapin aja menu/opsi ganti pass kapan aja. Selain itu untuk ganti pass selalu harus ada pulsa yang tersedia buat dapat OTP, padahal sekarang udah jaman digital sy jarang isi pulsa krn sudah serba online. Lagipula kalau bersikeras harus via SMS sekelas BUMN seharusnya bisa free, seperti BUMN2 lain!!klo ngga padahal bisa dirubah via apk lain seperti WA",1,Negative
"Buruk, tidak bisa aktivasi lewat ATM, selalu dapat notifikasi ""nomor ponsel tidak sama"" Padahal udah ulang2 berkali2 dan dicoba di 3 ATM, notifikasinya sama, sepertinya memang sengaja dibuat bug seperti itu biar datang langsung ke teller, sangat menyusahkan org yg punya sedikit waktu 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎",1,Negative
